Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
OPEN ARMS ASSISTED LIVING,WI,Business Associate,6000,7/15/2022,Unauthorized Access/Disclosure,Other Portable Electronic Device,Yes
McLaren Port Huron,MI,Healthcare Provider,48957,7/8/2022,Hacking/IT Incident,Network Server,Yes
"Kurilec Eye Care, LLC",CT,Healthcare Provider,2876,7/8/2022,Hacking/IT Incident,Electronic Medical Record,Yes
Parmer Medical Center,TX,Healthcare Provider,2400,7/5/2022,Hacking/IT Incident,Network Server,Yes
Arbuckle Memorial Hospital,OK,Healthcare Provider,1907,7/5/2022,Hacking/IT Incident,Network Server,Yes
"Preferred Hospital Leasing Hemphill, Inc d/b/a Sabine County Hospital",TX,Healthcare Provider,958,7/5/2022,Hacking/IT Incident,Network Server,Yes
"Preferred Hospital Leasing Muleshoe, Inc d/b/a Muleshoe Area Medical Center",TX,Healthcare Provider,1212,7/5/2022,Hacking/IT Incident,Network Server,Yes
"Preferred Hospital Leasing Junction, Inc d/b/a Kimble Hospital",TX,Healthcare Provider,1041,7/5/2022,Hacking/IT Incident,Network Server,Yes
"Preferred Hospital Leasing Van Horn, Inc d/b/a Culberson Hospital",TX,Healthcare Provider,689,7/5/2022,Hacking/IT Incident,Network Server,Yes
Preferred Hospital Leasing Coleman Inc. d/b/a Coleman County Medical Center,TX,Healthcare Provider,1159,7/5/2022,Hacking/IT Incident,Network Server,Yes
Catholic Health System,NY,Healthcare Provider,904,6/29/2022,Hacking/IT Incident,Email,Yes
Surgery Partners (North Carolina Specialty Hospital),TN,Business Associate,8258,6/28/2022,Hacking/IT Incident,Network Server,Yes
Surgery Partners (Lafayette Surgical Specialty Hospital),TN,Business Associate,3527,6/28/2022,Hacking/IT Incident,Network Server,Yes
Rodeo Pharmacy Inc,NJ,Healthcare Provider,1574,6/24/2022,Unauthorized Access/Disclosure,Email,No
Sharper Vision P.A. ,KS,Healthcare Provider,6891,6/17/2022,Hacking/IT Incident,Network Server,Yes
UNC Lenoir Health Care,NC,Healthcare Provider,5007,6/17/2022,Hacking/IT Incident,Network Server,Yes
"Lori A. Harkins MD, P.C. dba Harkins Eye Clinic",NE,Healthcare Provider,23993,6/10/2022,Hacking/IT Incident,Electronic Medical Record,Yes
"Precision Eye Care, Ltd.",MO,Healthcare Provider,58462,6/10/2022,Hacking/IT Incident,Electronic Medical Record,Yes
Priority Health,MI,Health Plan,795,6/4/2022,Loss,Paper/Films,No
Shoreline Eye Group,CT,Healthcare Provider,57047,5/27/2022,Hacking/IT Incident,Electronic Medical Record,Yes
"Julieta Y. Echeverria D.D.S., Inc.",CA,Healthcare Provider,529,5/20/2022,Theft,Paper/Films,No
Health Insurance Plan of Greater New York,NY,Health Plan,792,5/16/2022,Unauthorized Access/Disclosure,Paper/Films,No
"EmblemHealth Plan, Inc.",NY,Health Plan,11399,5/16/2022,Unauthorized Access/Disclosure,Paper/Films,No
ConnectiCare,CT,Health Plan,1196,5/16/2022,Unauthorized Access/Disclosure,Paper/Films,No
"WellDyneRx, LLC",FL,Healthcare Provider,5122,5/6/2022,Hacking/IT Incident,Email,No
King County Public Hospital District No. 2 d/b/a EvergreenHealth,WA,Healthcare Provider,20533,4/22/2022,Hacking/IT Incident,Network Server,Yes
La Casa de Salud ,NY,Healthcare Provider,9969,4/20/2022,Hacking/IT Incident,Email,No
Mountain Area Health Education Center dba MAHEC,NC,Healthcare Provider,1115,4/14/2022,Improper Disposal,Paper/Films,No
"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,695,4/6/2022,Unauthorized Access/Disclosure,Network Server,Yes
Central Vermont Eye Care,VT,Healthcare Provider,29892,4/6/2022,Hacking/IT Incident,"Electronic Medical Record, Other",Yes
Local 295 IBT Employer Group Welfare Fund,NY,Health Plan,6123,3/11/2022,Hacking/IT Incident,Network Server,Yes
"The Art & Science of Dermatology, P.C.",VA,Healthcare Provider,4500,2/25/2022,Loss,Network Server,No
"The Puerto Rican Organization to Motivate, Enltighten, and Serve Addicts, Inc. ",NY,Healthcare Provider,33933,2/23/2022,Hacking/IT Incident,Email,No
"Bronx Addiction Services Integrated Concepts Systems, Inc. ",NY,Healthcare Provider,823,2/23/2022,Hacking/IT Incident,Email,No
Liberty of Oklahoma Corporation ,PA,Business Associate,5746,2/17/2022,Hacking/IT Incident,Email,Yes
Priority Health,MI,Health Plan,2112,2/14/2022,Hacking/IT Incident,Network Server,No
Community Medical Center,NJ,Healthcare Provider,630,2/14/2022,Hacking/IT Incident,Email,Yes
Jackson County Hospital District,FL,Healthcare Provider,501,2/11/2022,Hacking/IT Incident,Network Server,No
"EPIC Pharmacy Network, Inc.",VA,Healthcare Provider,28776,2/8/2022,Hacking/IT Incident,Email,No
"La Posada at Park Centre, Inc.",AZ,Health Plan,812,2/8/2022,Hacking/IT Incident,Network Server,No
Florida Blue ,FL,Health Plan,588,2/4/2022,Unauthorized Access/Disclosure,Paper/Films,No
Pace Center for Girls,FL,Healthcare Provider,18300,1/26/2022,Unauthorized Access/Disclosure,Network Server,No
Abington Memorial Hospital dba Jefferson Abington Hospital,PA,Healthcare Provider,3475,1/20/2022,Hacking/IT Incident,Network Server,No
"Thomas Jefferson University Hospital, Inc. ",PA,Healthcare Provider,5239,1/20/2022,Hacking/IT Incident,Network Server,No
Colorado Department of Human Services,CO,Healthcare Provider,6132,1/19/2022,Hacking/IT Incident,Network Server,Yes
Golden State Dermatology,CA,Healthcare Provider,1010,1/19/2022,Unauthorized Access/Disclosure,Paper/Films,Yes
Practolytics LLC,SC,Business Associate,1125,1/18/2022,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
Oscar Insurance Company of Florida,FL,Health Plan,6290,1/13/2022,Unauthorized Access/Disclosure,Paper/Films,No
NYU Langone Hospitals,NY,Healthcare Provider,1141,1/6/2022,Unauthorized Access/Disclosure,Paper/Films,Yes
Vanderbilt University Medical Center,TN,Healthcare Provider,556,1/5/2022,Hacking/IT Incident,Email,Yes
Peachtree Orthopaedic Clinic,GA,Healthcare Provider,53686,1/3/2022,Hacking/IT Incident,Other,Yes
Dr. Kochurani Puthumana,VA,Healthcare Provider,3805,12/30/2021,Hacking/IT Incident,Network Server,Yes
"A New Leaf, Inc.",AZ,Healthcare Provider,10438,12/30/2021,Hacking/IT Incident,Network Server,No
Anthem Affiliated Covered Entities,IN,Health Plan,7250,12/30/2021,Hacking/IT Incident,Network Server,Yes
"Welfare, Pension and Annuity Funds of Local No. ONE, I.A.T.S.E.",NY,Health Plan,20579,12/21/2021,Hacking/IT Incident,Email,No
Skin Care Specialty Physicians,MD,Healthcare Provider,1553,12/21/2021,Theft,Paper/Films,No
Fast Medical Center,OK,Business Associate,901,12/21/2021,Hacking/IT Incident,Network Server,Yes
Apple Blossom Family Practice,VA,Healthcare Provider,12053,12/16/2021,Hacking/IT Incident,Network Server,Yes
"Andrew Sauchelli, DMD",FL,Health Plan,3416,12/16/2021,Hacking/IT Incident,Network Server,No
UAW Retiree Medical Benefits Trust,MI,Health Plan,576,12/14/2021,Hacking/IT Incident,Network Server,Yes
Baylor Scott & White Medical Center - Waxahachie,TX,Healthcare Provider,883,12/3/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No
Boulder Neurosurgical and Spine Associates,CO,Healthcare Provider,21450,11/29/2021,Hacking/IT Incident,Email,No
WyndRidge Health and Rehabilitation Center,TN,Healthcare Provider,1958,11/26/2021,Hacking/IT Incident,Network Server,No
Washington County School District,UT,Business Associate,659,11/22/2021,Hacking/IT Incident,Network Server,Yes
Austin Perio Health ,TX,Healthcare Provider,4339,11/17/2021,Hacking/IT Incident,Email,No
Sarasota MRI ,FL,Healthcare Provider,39962,11/12/2021,Unauthorized Access/Disclosure,Network Server,No
Weill Cornell Medicine,NY,Healthcare Provider,25697,11/12/2021,Hacking/IT Incident,Email,No
The Kroger Company,OH,Healthcare Provider,2686,11/12/2021,Theft,"Laptop, Paper/Films",No
